year,pdo_annual,oni_annual,mhw_period
1950,-2.236,-0.860,
1951,-1.122,0.431,
1952,-1.549,0.174,
1953,-0.640,0.713,
1954,-0.403,-0.401,
1955,-2.069,-0.948,
1956,-1.813,-0.578,
1957,0.290,0.961,
1958,0.864,0.833,
1959,0.274,0.137,
1960,0.039,0.068,
1961,-0.574,-0.017,
1962,-1.102,-0.215,
1963,-0.241,0.658,
1964,-0.887,-0.342,
1965,-0.144,0.901,
1966,-0.440,0.375,
1967,-0.742,-0.307,
1968,-0.154,0.135,
1969,-0.344,0.745,
1970,-0.404,-0.320,
1971,-1.316,-0.940,
1972,-1.144,0.927,
1973,-1.137,-0.618,
1974,-0.302,-0.887,
1975,-1.412,-1.052,
1976,-0.149,-0.049,
1977,0.045,0.512,
1978,0.072,-0.098,
1979,0.108,0.251,
1980,0.308,0.253,
1981,0.838,-0.268,
1982,-0.258,0.990,
1983,1.248,0.480,
1984,0.603,-0.506,
1985,0.027,-0.598,
1986,1.008,0.253,
1987,1.137,1.277,
1988,-0.038,-0.811,
1989,-0.504,-0.605,
1990,-0.827,0.315,
1991,-0.879,0.647,
1992,0.760,0.631,
1993,1.043,0.313,
1994,-0.493,0.475,
1995,0.439,-0.160,
1996,0.683,-0.460,
1997,1.317,1.171,
1998,-0.478,-0.058,
1999,-1.843,-1.225,
2000,-1.126,-0.836,
2001,-1.134,-0.308,
2002,-0.439,0.631,
2003,0.382,0.251,
2004,-0.224,0.447,
2005,-0.188,0.041,
2006,-0.351,0.072,
2007,-0.703,-0.608,
2008,-1.663,-0.782,
2009,-1.032,0.282,
2010,-1.061,-0.475,
2011,-1.812,-0.775,
2012,-1.733,-0.063,
2013,-1.166,-0.234,
2014,0.554,0.205,
2015,0.922,1.548,
2016,0.674,0.423,
2017,-0.103,-0.115,
2018,-0.373,0.094,
2019,-0.161,0.575,
2020,-1.142,-0.272,
2021,-1.882,-0.635,
2022,-2.110,-0.850,MHW
2023,-2.256,0.900,MHW
2024,-2.594,0.437,MHW
2025,-1.988,-0.268,recovery
