japanese_name,scientific_name,sti_celsius,sti_sd,n_occurrences,n_valid_temps,confidence,dataset
アイノミドリシジミ,Chrysozephyrus brillantinus,,,0,0,None,satochi_114
アオスジアゲハ,Graphium sarpedon,,,0,0,None,satochi_114
アオバセセリ,Choaspes benjaminii,13.24,4.58,300,299,High,satochi_114
アカシジミ,Japonica lutea,11.07,3.38,300,300,High,satochi_114
アカタテハ,Vanessa indica,14.44,3.88,300,293,High,satochi_114
アカボシゴマダラ,Hestina assimilis,15.36,1.45,300,300,High,satochi_114
アカマダラ,Araschnia levana,5.96,1.12,300,300,High,satochi_114
アゲハ,Papilio xuthus,15.44,1.32,300,299,High,satochi_114
アサギマダラ,Parantica sita,13.55,4.29,300,290,High,satochi_114
アサマイチモンジ,Limenitis glorifica,14.10,2.25,69,69,High,satochi_114
イシガケチョウ,Cyrestis thyodamas,22.28,3.10,300,263,High,satochi_114
イチモンジセセリ,Parnara guttatus,14.89,3.50,300,299,High,satochi_114
イチモンジチョウ,Ladoga camilla,13.08,3.35,300,300,High,satochi_114
ウスバシロチョウ,Parnassius glacialis,11.59,2.38,300,300,High,satochi_114
ウラギンシジミ,Curetis acuta,14.48,1.57,300,299,High,satochi_114
ウラギンスジヒョウモン,Argyronome laodice,9.17,2.38,177,176,High,satochi_114
ウラギンヒョウモン,Fabriciana adippe,9.14,2.77,300,300,High,satochi_114
ウラゴマダラシジミ,Artopoetes pryeri,13.24,3.80,300,300,High,satochi_114
ウラジロミドリシジミ,Favonius saphirinus,,,0,0,None,satochi_114
ウラナミアカシジミ,Japonica saepestriata,13.77,2.92,300,300,High,satochi_114
ウラナミシジミ,Lampides boeticus,15.43,2.47,300,298,High,satochi_114
エゾシロチョウ,Aporia crataegi,5.81,1.51,300,300,High,satochi_114
エゾスジグロシロチョウ,Pieris napi,9.57,3.35,186,186,High,satochi_114
エゾヒメシロチョウ,Leptidea amurensis,8.57,1.98,248,248,High,satochi_114
エゾミドリシジミ,Favonius jezoensis,7.89,2.08,300,300,High,satochi_114
エルタテハ,Nymphalis vaualbum,6.19,2.27,300,300,High,satochi_114
オオウラギンスジヒョウモン,Argyronome ruslana,9.33,2.55,300,300,High,satochi_114
オオチャバネセセリ,Polytremis pellucida,10.80,3.21,300,299,High,satochi_114
オオヒカゲ,Ninguta schrenckii,8.74,2.53,259,259,High,satochi_114
オオミスジ,Neptis alwina,9.15,2.00,234,234,High,satochi_114
オオミドリシジミ,Favonius orientalis,10.84,3.10,300,300,High,satochi_114
オオモンシロチョウ,Pieris brassicae,5.96,1.74,220,220,High,satochi_114
オナガアゲハ,Papilio macilentus,12.36,2.85,300,299,High,satochi_114
オナガシジミ,Araragi enthea,8.81,2.00,250,250,High,satochi_114
カラスアゲハ,Papilio dehaanii,14.52,2.85,300,298,High,satochi_114
カラスシジミ,Satyrium w-album,5.81,1.70,61,61,High,satochi_114
キアゲハ,Papilio machaon,13.10,3.98,300,299,High,satochi_114
キタテハ,Polygonia c-aureum,14.89,1.69,300,300,High,satochi_114
キチョウ,Eurema mandarina,14.89,1.77,300,299,High,satochi_114
キバネセセリ,Bibasis aquilina,6.34,1.78,112,112,High,satochi_114
キマダラセセリ,Potanthus flavus,,,0,0,None,satochi_114
ギンボシヒョウモン,Speyeria aglaja,5.73,2.36,297,297,High,satochi_114
クジャクチョウ,Aglais io,7.04,2.41,300,300,High,satochi_114
クモガタヒョウモン,Argynnis anadyomene,11.57,3.57,40,40,High,satochi_114
クロアゲハ,Papilio protenor,14.38,3.34,300,299,High,satochi_114
クロコノマチョウ,Melanitis phedima,14.89,1.42,300,300,High,satochi_114
クロセセリ,Notocrypta curvifascia,20.82,3.37,115,111,High,satochi_114
クロヒカゲ,Lethe diana,13.55,3.94,300,298,High,satochi_114
クロマダラソテツシジミ,Chilades pandava,15.82,1.91,86,86,High,satochi_114
クロミドリシジミ,Favonius yuasai,11.09,1.83,79,79,High,satochi_114
コキマダラセセリ,Ochlodes ochracea,10.81,3.23,300,300,High,satochi_114
コジャノメ,Mycalesis francisca,14.23,1.78,300,300,High,satochi_114
コチャバネセセリ,Thoressa varia,12.54,3.94,300,300,High,satochi_114
コツバメ,Callophrys ferrea,,,0,0,None,satochi_114
コヒョウモン,Brenthis ino,5.69,1.87,277,277,High,satochi_114
コミスジ,Neptis sappho,14.89,2.07,300,300,High,satochi_114
コムラサキ,Apatura metis,9.91,3.74,300,300,High,satochi_114
ゴイシシジミ,Taraka hamada,9.49,2.63,300,300,High,satochi_114
ゴマダラチョウ,Hestina persimilis,15.11,1.29,300,300,High,satochi_114
サカハチチョウ,Araschnia burejana,8.40,3.11,300,300,High,satochi_114
サツマシジミ,Udara albocaerulea,14.67,1.50,67,67,High,satochi_114
サトキマダラヒカゲ,Neope goschkevitschii,14.73,3.40,300,300,High,satochi_114
シータテハ,Polygonia c-album,8.26,2.06,300,300,High,satochi_114
ジャコウアゲハ,Atrophaneura alcinous,15.64,4.14,300,271,High,satochi_114
ジャノメチョウ,Minois dryas,11.06,3.30,300,300,High,satochi_114
スギタニルリシジミ,Celastrina sugitanii,9.33,2.41,300,300,High,satochi_114
スジグロシロチョウ,Pieris melete,14.19,3.08,300,300,High,satochi_114
スジボソヤマキチョウ,Gonepteryx aspasia,8.26,2.02,300,300,High,satochi_114
スミナガシ,Dichorragia nesimachus,11.39,3.19,300,299,High,satochi_114
ダイミョウセセリ,Daimio tethys,13.02,2.93,300,300,High,satochi_114
チャバネセセリ,Pelopidas mathias,14.89,0.86,300,300,High,satochi_114
ツバメシジミ,Everes argiades,14.89,1.92,300,300,High,satochi_114
ツマキチョウ,Anthocharis scolymus,14.48,3.10,300,300,High,satochi_114
ツマグロヒョウモン,Argyreus hyperbius,14.78,1.84,300,300,High,satochi_114
テングチョウ,Libythea lepita,14.48,2.42,300,298,High,satochi_114
トラフシジミ,Rapala arata,10.87,2.95,300,300,High,satochi_114
ナガサキアゲハ,Papilio memnon,15.79,3.58,300,297,High,satochi_114
ハヤシミドリシジミ,Favonius ultramarinus,,,0,0,None,satochi_114
ヒオドシチョウ,Nymphalis xanthomelas,11.99,2.93,300,300,High,satochi_114
ヒカゲチョウ,Lethe sicelis,14.89,1.56,300,300,High,satochi_114
ヒメアカタテハ,Vanessa cardui,14.89,2.96,300,296,High,satochi_114
ヒメウラナミシジミ,Prosotas nora,22.93,2.06,35,26,Medium,satochi_114
ヒメウラナミジャノメ,Ypthima argus,14.58,2.03,300,300,High,satochi_114
ヒメキマダラセセリ,Ochlodes venata,8.02,2.24,300,300,High,satochi_114
ヒメキマダラヒカゲ,Zophoessa callipteris,,,0,0,None,satochi_114
ヒメジャノメ,Mycalesis gotama,15.58,3.92,300,278,High,satochi_114
フジミドリシジミ,Sibataniozephyrus fujisanus,8.89,2.15,137,137,High,satochi_114
フタスジチョウ,Neptis rivularis,6.66,2.21,249,248,High,satochi_114
ベニシジミ,Lycaena phlaeas,14.85,1.67,300,300,High,satochi_114
ホシミスジ,Neptis pryeri,13.43,3.16,300,300,High,satochi_114
ホソバセセリ,Isoteinon lamprospilus,12.53,2.35,167,167,High,satochi_114
ミカドアゲハ,Graphium doson,16.78,4.00,99,90,High,satochi_114
ミスジチョウ,Neptis philyra,7.51,2.93,300,300,High,satochi_114
ミズイロオナガシジミ,Antigius attilia,13.02,2.78,300,300,High,satochi_114
ミドリシジミ,Neozephyrus japonicus,10.06,3.14,300,300,High,satochi_114
ミドリヒョウモン,Argynnis paphia,10.68,3.88,300,300,High,satochi_114
ミヤマカラスアゲハ,Papilio maackii,9.26,3.58,300,300,High,satochi_114
ミヤマカラスシジミ,Fixsenia mera,,,0,0,None,satochi_114
ミヤマセセリ,Erynnis montanus,11.60,3.27,300,300,High,satochi_114
ミヤマチャバネセセリ,Pelopidas jansonis,14.38,1.65,156,156,High,satochi_114
ムラサキシジミ,Arhopala japonica,14.89,1.85,300,300,High,satochi_114
ムラサキツバメ,Arhopala bazalus,15.58,1.15,136,136,High,satochi_114
メスアカミドリシジミ,Chrysozephyrus smaragdinus,,,0,0,None,satochi_114
メスグロヒョウモン,Damora sagana,11.09,3.68,300,300,High,satochi_114
モンキアゲハ,Papilio helenus,15.43,2.85,300,294,High,satochi_114
モンキチョウ,Colias erate,9.33,3.53,300,300,High,satochi_114
モンシロチョウ,Pieris rapae,14.89,1.97,300,298,High,satochi_114
ヤクシマルリシジミ,Acytolepis puspa,17.17,4.13,44,44,High,satochi_114
ヤマキマダラヒカゲ,Neope niphonica,14.73,3.40,300,300,High,satochi_114
ヤマトシジミ,Zizeeria maha,11.09,2.76,300,300,High,satochi_114
ユウレイセセリ,Borbo cinnara,22.90,0.52,36,34,High,satochi_114
ルリウラナミシジミ,Jamides bochus,23.32,1.10,79,78,High,satochi_114
ルリシジミ,Celastrina argiolus,14.76,2.81,300,300,High,satochi_114
ルリタテハ,Kaniska canace,14.89,3.71,300,296,High,satochi_114
アサヒヒョウモン,Boloria freija,0.90,0.63,6,6,Low,alpine_only
ウスバキチョウ,Parnassius eversmanni,-0.80,2.29,19,19,Medium,alpine_only
オオイチモンジ,Limenitis populi,5.38,1.40,22,22,Medium,alpine_only
カラフトルリシジミ,Vacciniina optilete,3.83,1.49,4,4,Low,alpine_only
キベリタテハ,Nymphalis antiopa,6.05,2.04,300,300,High,alpine_only
クモマツマキチョウ,Anthocharis cardamines,9.09,3.11,23,23,Medium,alpine_only
クモマベニヒカゲ,Erebia ligea,6.76,3.10,60,60,High,alpine_only
コヒオドシ,Aglais urticae,5.49,1.99,199,198,High,alpine_only
タカネヒカゲ,Oeneis melissa,1.53,4.98,15,15,Medium,alpine_only
ダイセツタカネヒカゲ,Oeneis melissa,1.53,4.98,15,15,Medium,alpine_only
ツマジロウラジャノメ,Lasiommata deidamia,8.53,1.77,205,204,High,alpine_only
ヒメウスバシロチョウ,Parnassius stubbendorfii,5.53,1.43,300,300,High,alpine_only
ベニヒカゲ,Erebia niphonica,5.16,1.80,300,300,High,alpine_only
ホソバヒョウモン,Clossiana thore,4.58,1.58,234,234,High,alpine_only
ミヤマモンキチョウ,Colias palaeno,3.88,2.89,58,58,High,alpine_only
ヤマトスジグロシロチョウ,Pieris nesis,,,0,0,None,alpine_only
