study,lat,lon,slope,se,p,n
709,37.000000,0,-0.001490,0.000996,0.143000,43
809,53.300000,0,-0.001160,0.000860,0.186200,42
582,59.800000,0,-0.002710,0.000627,0.000100,39
333,39.100000,0,0.002320,0.001778,0.205100,25
624,51.300000,0,-0.000440,0.001973,0.825100,24
67,-27.400000,0,0.013810,0.004031,0.002500,23
166,45.400000,0,-0.005660,0.003276,0.102000,19
522,-17.900000,0,0.014560,0.005914,0.027400,16
527,65.900000,0,-0.009050,0.003219,0.014700,15
169,33.900000,0,0.002940,0.003852,0.459900,14
374,37.000000,0,-0.002070,0.001995,0.325700,11
694,34.400000,0,0.002550,0.002969,0.412000,11
372,35.700000,0,-0.021050,0.008703,0.060200,7
225,33.400000,0,0.025330,0.006424,0.016900,6
702,33.500000,0,0.022410,0.004596,0.008200,6
108,-55.700000,0,-0.000010,0.014677,0.999400,6
377,37.800000,0,-0.011120,0.006161,0.169000,5
